"actor_id","actors_name","string_to_array"
29,"Alec Wayne","{""Children : 3"",""Music : 2"",""Drama : 4"",""Documentary : 1"",""Action : 1"",""Comedy : 2"",""Family : 1"",""Games : 1"",""Sci-Fi : 3"",""Sports : 3"",""New : 3"",""Foreign : 1"",""Travel : 1"",""Classics : 3""}"
30,"Sandra Peck","{""New : 2"",""Drama : 1"",""Foreign : 1"",""Documentary : 2"",""Family : 2"",""Music : 1"",""Classics : 1"",""Sci-Fi : 1"",""Sports : 1"",""Horror : 1"",""Action : 4"",""Travel : 2""}"
31,"Sissy Sobieski","{""Foreign : 2"",""New : 1"",""Documentary : 1"",""Animation : 1"",""Action : 2"",""Drama : 4"",""Sci-Fi : 1"",""Comedy : 3"",""Family : 1"",""Travel : 2""}"
32,"Tim Hackman","{""Foreign : 4"",""Drama : 2"",""Sci-Fi : 1"",""New : 1"",""Travel : 2"",""Horror : 1"",""Classics : 2"",""Documentary : 3"",""Children : 1"",""Sports : 3"",""Music : 1"",""Animation : 1"",""Family : 1""}"
33,"Milla Peck","{""Sports : 2"",""Children : 3"",""Animation : 2"",""Drama : 3"",""Horror : 3"",""Games : 1"",""New : 1"",""Classics : 1"",""Comedy : 1"",""Foreign : 1"",""Documentary : 1"",""Sci-Fi : 1"",""Action : 3"",""Travel : 1""}"
34,"Audrey Olivier","{""Classics : 2"",""Sports : 4"",""Music : 1"",""Drama : 1"",""New : 3"",""Travel : 1"",""Children : 1"",""Foreign : 3"",""Action : 1"",""Games : 1"",""Family : 1"",""Documentary : 3"",""Comedy : 3""}"
35,"Judy Dean","{""Sci-Fi : 1"",""Animation : 1"",""Sports : 4"",""Foreign : 3"",""Travel : 1"",""Documentary : 1"",""Horror : 1"",""Action : 3""}"
36,"Burt Dukakis","{""New : 2"",""Comedy : 1"",""Games : 3"",""Classics : 2"",""Action : 1"",""Horror : 3"",""Foreign : 3"",""Music : 1"",""Sports : 2"",""Travel : 1"",""Documentary : 2"",""Family : 3"",""Animation : 2"",""Sci-Fi : 3""}"
37,"Val Bolger","{""Sports : 2"",""Documentary : 2"",""Children : 4"",""Games : 2"",""Horror : 2"",""Foreign : 2"",""Comedy : 4"",""Sci-Fi : 2"",""Music : 3"",""Travel : 2"",""Action : 3"",""Animation : 2"",""Drama : 3"",""Classics : 2""}"
38,"Tom Mckellen","{""New : 1"",""Music : 1"",""Family : 1"",""Comedy : 1"",""Action : 3"",""Drama : 2"",""Animation : 4"",""Sci-Fi : 2"",""Documentary : 1"",""Children : 3"",""Horror : 2"",""Sports : 2"",""Foreign : 2""}"
39,"Goldie Brody","{""Sci-Fi : 4"",""Classics : 2"",""Children : 1"",""Family : 4"",""Sports : 3"",""Animation : 3"",""Travel : 1"",""New : 2"",""Documentary : 1"",""Horror : 2"",""Drama : 2"",""Foreign : 3""}"
40,"Johnny Cage","{""Sci-Fi : 4"",""Foreign : 2"",""Documentary : 2"",""Games : 2"",""Drama : 3"",""Comedy : 2"",""Sports : 1"",""Travel : 2"",""Classics : 1"",""Horror : 4"",""New : 2"",""Action : 1"",""Animation : 3""}"
41,"Jodie Degeneres","{""Drama : 2"",""Games : 1"",""Family : 1"",""Sports : 3"",""Travel : 2"",""Music : 2"",""Foreign : 2"",""Sci-Fi : 3"",""Comedy : 2"",""Classics : 2"",""Action : 3"",""New : 1"",""Documentary : 3"",""Horror : 2""}"
42,"Tom Miranda","{""New : 1"",""Drama : 1"",""Music : 2"",""Children : 1"",""Travel : 1"",""Horror : 6"",""Sports : 1"",""Family : 3"",""Documentary : 2"",""Animation : 1"",""Games : 2"",""Comedy : 3"",""Foreign : 2"",""Sci-Fi : 1""}"
43,"Kirk Jovovich","{""Children : 3"",""Foreign : 2"",""Music : 2"",""Comedy : 2"",""Family : "",""5Action : 3"",""Drama : 2"",""Animation : 3"",""Classics : 1"",""Sports : 3""}"
44,"Nick Stallone","{""Games : 2"",""Travel : "",""5Horror : 2"",""Sports : 6"",""Drama : 1"",""Action : 2"",""Comedy : 2"",""Children : 2"",""Documentary : 2"",""New : 4"",""Family : 2""}"
45,"Reese Kilmer","{""Animation : 3"",""Documentary : 4"",""Action : 1"",""Sci-Fi : 1"",""Comedy : 3"",""Horror : 1"",""Classics : 3"",""Sports : 3"",""New : 1"",""Games : 2"",""Family : 3"",""Children : 1"",""Music : 2"",""Foreign : 4""}"
46,"Parker Goldberg","{""Sci-Fi : 2"",""Foreign : 1"",""Family : 1"",""Classics : 1"",""Music : 4"",""Horror : 1"",""Documentary : 1"",""Comedy : 1"",""Sports : 3"",""Drama : 1"",""Animation : 2"",""Action : 2"",""Children : 2"",""New : 2""}"
47,"Julia Barrymore","{""Travel : 2"",""Documentary : 4"",""Drama : 4"",""Action : 1"",""New : 2"",""Games : 1"",""Family : 2"",""Sports : 1"",""Animation : 1"",""Horror : 2"",""Comedy : 1"",""Sci-Fi : 1"",""Classics : 1"",""Foreign : 1""}"
48,"Frances Day-Lewis","{""Travel : 1"",""Comedy : 1"",""Foreign : 3"",""Sports : 2"",""Documentary : 6"",""Action : 1"",""Animation : 3"",""New : 1"",""Horror : 2"",""Sci-Fi : 2"",""Family : 3"",""Games : 1""}"
49,"Anne Cronyn","{""Animation : 1"",""Music : 1"",""Horror : 2"",""Sports : 1"",""Action : 4"",""Foreign : 2"",""Documentary : 2"",""Sci-Fi : 2"",""Drama : 3"",""Travel : 2"",""Children : 1"",""Family : 3"",""New : 1"",""Classics : 2""}"
50,"Natalie Hopkins","{""Foreign : 1"",""Sports : 2"",""Travel : 2"",""Drama : 3"",""Animation : 1"",""Children : 1"",""Sci-Fi : 2"",""Action : 6"",""New : 1"",""Comedy : 2"",""Games : 3"",""Family : "",""5Documentary : 3""}"
51,"Gary Phoenix","{""Documentary : 2"",""Horror : 2"",""Sci-Fi : 1"",""Sports : 4"",""Classics : 3"",""Children : 1"",""Travel : 1"",""Action : 1"",""Games : 1"",""Foreign : 1"",""Animation : 2"",""Family : 2"",""New : 4""}"
52,"Carmen Hunt","{""Comedy : 1"",""Horror : 1"",""Music : 2"",""Children : 3"",""Classics : 3"",""Action : 2"",""Foreign : 3"",""New : 3"",""Sports : 2"",""Games : 1"",""Documentary : 2"",""Sci-Fi : 2"",""Travel : 1""}"
53,"Mena Temple","{""Travel : 4"",""Animation : 1"",""New : "",""5Games : 2"",""Action : 2"",""Sci-Fi : 1"",""Music : 2"",""Foreign : 2"",""Classics : 2"",""Sports : 2"",""Horror : 2"",""Family : 1"",""Children : 1"",""Documentary : 3""}"
54,"Penelope Pinkett","{""Documentary : 2"",""Classics : 2"",""New : 1"",""Sci-Fi : 1"",""Music : 1"",""Horror : 4"",""Family : 1"",""Animation : 3"",""Travel : 2"",""Comedy : 3"",""Sports : 1"",""Action : 1"",""Games : 3""}"
55,"Fay Kilmer","{""Children : 1"",""Drama : 4"",""Sports : 3"",""Animation : 1"",""New : 2"",""Documentary : 1"",""Family : 1"",""Foreign : 1"",""Horror : 1"",""Travel : 2"",""Classics : 1"",""Sci-Fi : 2""}"
56,"Dan Harris","{""Sports : 4"",""Music : 2"",""Foreign : 2"",""Children : 1"",""Sci-Fi : 2"",""Horror : 2"",""Games : 2"",""Family : 2"",""Action : 1"",""Documentary : 1"",""Drama : 2"",""Animation : 1"",""New : 2"",""Classics : 1"",""Travel : 3""}"
57,"Jude Cruise","{""Action : 2"",""Documentary : 2"",""Foreign : 3"",""Children : 2"",""New : 4"",""Comedy : 2"",""Music : 2"",""Classics : 1"",""Horror : 4"",""Animation : 1"",""Games : 1"",""Sci-Fi : 4"",""Family : 2""}"
58,"Christian Akroyd","{""New : 3"",""Games : 2"",""Children : 4"",""Action : 2"",""Documentary : 2"",""Comedy : 4"",""Sports : 2"",""Music : 2"",""Sci-Fi : 2"",""Family : 1"",""Classics : 1"",""Animation : 2"",""Foreign : 3"",""Horror : 2""}"
59,"Dustin Tautou","{""Drama : 2"",""Action : 2"",""Horror : 2"",""Sci-Fi : 1"",""Family : 3"",""Travel : 1"",""Animation : 3"",""Music : 1"",""Foreign : 2"",""Documentary : 6"",""Games : 1"",""Children : 1"",""Classics : 2""}"
60,"Henry Berry","{""Foreign : 3"",""Drama : 3"",""Children : 2"",""Animation : 3"",""Classics : 1"",""New : 2"",""Documentary : 3"",""Action : 1"",""Horror : "",""5Comedy : 1"",""Games : 1"",""Music : 1"",""Sci-Fi : 2"",""Travel : 3"",""Family : 4""}"
61,"Christian Neeson","{""Games : 2"",""Drama : 2"",""Animation : 3"",""Music : 2"",""Travel : 3"",""Children : 1"",""Horror : 2"",""Sci-Fi : 3"",""Family : 3"",""Classics : 1"",""Sports : 3""}"
62,"Jayne Neeson","{""Foreign : 4"",""Music : 2"",""Comedy : 2"",""Documentary : "",""5Drama : 1"",""Family : 2"",""Classics : 2"",""Travel : 2"",""Action : 2"",""Horror : 1"",""Games : 2"",""New : 1"",""Sports : 2"",""Children : 1""}"
63,"Cameron Wray","{""Music : 1"",""Children : 1"",""Games : 1"",""Comedy : 1"",""Classics : 2"",""Documentary : 2"",""Sci-Fi : 2"",""Drama : 2"",""Animation : 2"",""Travel : 2"",""Sports : 3""}"
64,"Ray Johansson","{""New : 1"",""Music : 2"",""Animation : 1"",""Documentary : 3"",""Travel : 4"",""Family : 3"",""Sci-Fi : 2"",""Classics : 4"",""Horror : 1"",""Comedy : 1"",""Games : 2"",""Children : 3"",""Sports : 3""}"
65,"Angela Hudson","{""Comedy : 2"",""Sci-Fi : 3"",""Children : 3"",""Action : 2"",""Music : 3"",""Horror : 3"",""Travel : 3"",""Classics : 3"",""New : 1"",""Animation : 2"",""Sports : 2"",""Documentary : 1"",""Games : 4"",""Drama : 1"",""Family : 1""}"
66,"Mary Tandy","{""Sports : 2"",""Animation : 1"",""Sci-Fi : 2"",""Family : 1"",""Action : 4"",""Classics : 2"",""Horror : 1"",""Drama : 3"",""Foreign : 4"",""Travel : 2"",""Comedy : 1"",""Documentary : 1"",""Children : "",""5New : 2""}"
67,"Jessica Bailey","{""Documentary : 2"",""Classics : 3"",""Music : 2"",""Travel : 4"",""Games : 2"",""Sports : 1"",""Drama : 1"",""Foreign : 1"",""Action : 2"",""Horror : 2"",""Sci-Fi : 1"",""Comedy : 1"",""New : 1""}"
68,"Rip Winslet","{""Action : 1"",""Drama : 2"",""Music : 4"",""Games : "",""5Classics : 1"",""Travel : 2"",""Horror : 2"",""Foreign : 4"",""Sci-Fi : 2"",""Sports : 1"",""New : 1"",""Documentary : 2"",""Family : 2"",""Animation : 1""}"
69,"Kenneth Paltrow","{""Drama : 1"",""Documentary : 2"",""Games : 2"",""Foreign : 2"",""Horror : 1"",""Sports : 1"",""Children : 2"",""Comedy : 2"",""Travel : 2"",""New : 1"",""Action : 2"",""Animation : 1"",""Sci-Fi : 1"",""Music : 1""}"
70,"Michelle Mcconaughey","{""Family : 2"",""Documentary : 2"",""Classics : 2"",""Animation : 1"",""Action : 3"",""Children : 2"",""Games : 2"",""Comedy : 1"",""Horror : 2"",""Drama : 1"",""Foreign : 3"",""Sports : 2""}"
71,"Adam Grant","{""Travel : 1"",""Comedy : 3"",""Action : 1"",""Sports : 2"",""Sci-Fi : 1"",""Family : 1"",""Classics : 1"",""Children : 3"",""Foreign : 2"",""Games : 3""}"
72,"Sean Williams","{""Games : 2"",""Horror : 3"",""Drama : 1"",""Children : 1"",""Comedy : 1"",""Classics : 1"",""Travel : 3"",""Documentary : 1"",""Sports : 2"",""New : 1"",""Animation : 3"",""Sci-Fi : 1"",""Foreign : 2"",""Family : 1"",""Action : 1"",""Music : 2""}"
73,"Gary Penn","{""Sports : 2"",""Family : 1"",""Foreign : 3"",""Horror : 2"",""Sci-Fi : 1"",""Drama : 3"",""Music : 3"",""Action : 3"",""Classics : 2"",""New : 3"",""Animation : 2"",""Documentary : 1""}"
74,"Milla Keitel","{""Comedy : 2"",""Sci-Fi : 3"",""Documentary : 1"",""Classics : 3"",""Foreign : 2"",""Family : 2"",""Horror : 2"",""Sports : 4"",""Children : 1"",""New : 2"",""Games : 3"",""Travel : 3""}"
75,"Burt Posey","{""Travel : 2"",""Children : 1"",""Games : 1"",""Family : 2"",""Horror : 4"",""Sports : 4"",""Animation : 1"",""Action : 1"",""Foreign : 1"",""Music : 1"",""Classics : 2"",""Drama : 1"",""New : 3""}"
76,"Angelina Astaire","{""Sports : 3"",""Animation : 2"",""Documentary : 1"",""Games : 1"",""Sci-Fi : 2"",""New : 4"",""Classics : 2"",""Comedy : 4"",""Family : 3"",""Drama : 2"",""Travel : 2"",""Children : 2"",""Horror : 2"",""Action : 1""}"
77,"Cary Mcconaughey","{""Comedy : 1"",""Drama : 1"",""Sci-Fi : 3"",""Foreign : 1"",""New : 3"",""Classics : 1"",""Documentary : 3"",""Family : 2"",""Children : 2"",""Travel : 1"",""Animation : 3"",""Horror : 2"",""Sports : 1""}"
78,"Groucho Sinatra","{""Action : 3"",""Children : 2"",""Music : 2"",""Games : 2"",""Horror : 1"",""Foreign : 2"",""Sports : 2"",""Sci-Fi : 1"",""Family : 1"",""Documentary : "",""5Animation : 3"",""Comedy : 1"",""Travel : 1""}"
79,"Mae Hoffman","{""Children : 1"",""Foreign : 2"",""Sports : 1"",""Comedy : 1"",""Family : 6"",""Drama : 3"",""Travel : 1"",""Action : 1"",""Games : 3"",""New : 3"",""Documentary : 3"",""Sci-Fi : 1"",""Animation : 2""}"
80,"Ralph Cruz","{""Family : 2"",""Classics : 1"",""Horror : 1"",""Action : 1"",""Documentary : 4"",""Animation : 1"",""Games : 3"",""Sports : 2"",""Foreign : 1"",""Travel : 1"",""Children : "",""5New : 1"",""Sci-Fi : 1"",""Drama : 2"",""Comedy : 2""}"
81,"Scarlett Damon","{""Sports : "",""5Comedy : 3"",""Children : 4"",""Classics : 1"",""Family : 2"",""New : 2"",""Foreign : 2"",""Music : 1"",""Horror : 2"",""Documentary : 1"",""Animation : 4"",""Drama : 4"",""Games : 3"",""Action : 2""}"
82,"Woody Jolie","{""Documentary : 1"",""New : 4"",""Action : 3"",""Games : 2"",""Horror : 2"",""Music : 2"",""Classics : 1"",""Sports : 2"",""Drama : 2"",""Travel : 1"",""Children : 2"",""Foreign : 2"",""Comedy : 4"",""Sci-Fi : 3""}"
83,"Ben Willis","{""Games : 2"",""Sci-Fi : 4"",""Children : 3"",""Classics : 1"",""Comedy : 4"",""Documentary : 2"",""New : 2"",""Travel : 2"",""Foreign : 1"",""Sports : 9"",""Animation : 3""}"
84,"James Pitt","{""Action : 2"",""Horror : 1"",""Animation : 2"",""Foreign : 4"",""Classics : 1"",""Documentary : 3"",""Games : 3"",""Comedy : 3"",""Family : 3"",""Sports : 4"",""Sci-Fi : 2"",""Music : 1"",""Children : 2""}"
85,"Minnie Zellweger","{""Horror : 3"",""Foreign : "",""5Sports : 4"",""Children : 1"",""Classics : 3"",""Drama : 1"",""Action : 1"",""Sci-Fi : 2"",""New : 2"",""Documentary : 4"",""Comedy : 2"",""Animation : 1"",""Games : 1"",""Travel : 1""}"
86,"Greg Chaplin","{""Family : 1"",""Sports : 2"",""Foreign : 3"",""Action : 1"",""Drama : 1"",""Sci-Fi : 3"",""Games : 1"",""Travel : 1"",""Comedy : 2"",""New : 4"",""Music : 2"",""Classics : 6""}"
87,"Spencer Peck","{""Foreign : 3"",""Family : 1"",""Music : 3"",""Games : 1"",""Children : 2"",""Documentary : 2"",""Sports : 3"",""Horror : 2"",""Action : 2"",""Sci-Fi : 1"",""Drama : 1""}"
88,"Kenneth Pesci","{""Action : 2"",""Animation : 1"",""Sci-Fi : 4"",""Horror : 2"",""Travel : 2"",""Sports : 2"",""Music : 2"",""Foreign : 4"",""Children : 1""}"
89,"Charlize Dench","{""Comedy : 3"",""Travel : 2"",""Classics : 2"",""Games : 4"",""Animation : 1"",""Foreign : 1"",""Action : 4"",""Sports : 4"",""Drama : 1"",""Children : 2""}"
90,"Sean Guiness","{""Horror : 1"",""Drama : 1"",""Comedy : 3"",""Sci-Fi : 3"",""Foreign : 2"",""Classics : 2"",""Games : 1"",""Music : 2"",""Animation : 4"",""Travel : 2"",""Sports : 2"",""Action : "",""5Family : 3"",""Documentary : 2""}"
91,"Christopher Berry","{""Animation : 2"",""New : 1"",""Comedy : 1"",""Action : 2"",""Travel : 1"",""Classics : 2"",""Children : 3"",""Sports : 1"",""Foreign : 2"",""Family : 1"",""Horror : 1"",""Games : 3""}"
92,"Kirsten Akroyd","{""Comedy : 2"",""Classics : 1"",""Sports : 1"",""Documentary : 1"",""New : 3"",""Travel : 3"",""Drama : 3"",""Family : 1"",""Foreign : 4"",""Sci-Fi : 2"",""Children : 4"",""Animation : 2"",""Games : 2"",""Action : 5""}"
93,"Ellen Presley","{""Animation : 3"",""Sports : 4"",""Games : 2"",""Children : 4"",""Drama : 1"",""Comedy : 1"",""Action : 1"",""Family : 2"",""Horror : 2"",""Classics : 3"",""Travel : 1"",""Documentary : 1""}"
94,"Kenneth Torn","{""Documentary : "",""5Sports : 2"",""New : 3"",""Music : 2"",""Classics : "",""5Drama : 3"",""Travel : 1"",""Foreign : 2"",""Family : 2"",""Sci-Fi : 1"",""Animation : 2"",""Horror : 4"",""Children : 1""}"
95,"Daryl Wahlberg","{""Travel : 2"",""Action : 4"",""Documentary : 2"",""Music : 1"",""Comedy : 1"",""Classics : 1"",""Sci-Fi : 1"",""Drama : 1"",""Animation : 2"",""New : 2"",""Foreign : "",""5Games : 1"",""Horror : 3"",""Family : 1"",""Children : 1"",""Sports : 3""}"
96,"Gene Willis","{""Family : 2"",""New : 3"",""Documentary : 3"",""Children : 1"",""Action : 1"",""Foreign : 3"",""Horror : 1"",""Drama : 1"",""Animation : 3"",""Sci-Fi : 1"",""Classics : 1"",""Music : 3""}"
97,"Meg Hawke","{""Travel : 4"",""Children : 3"",""Sci-Fi : 3"",""New : 2"",""Sports : 3"",""Family : 2"",""Drama : 2"",""Foreign : 2"",""Documentary : 2"",""Classics : 3"",""Comedy : 1""}"
98,"Chris Bridges","{""Drama : 1"",""Foreign : 3"",""Action : 2"",""Comedy : 1"",""Documentary : 2"",""Family : "",""5Travel : 1"",""Sports : 2"",""Classics : 2"",""Music : 1"",""Horror : 1"",""Sci-Fi : 3"",""Children : 2"",""New : 1""}"
99,"Jim Mostel","{""New : 1"",""Sports : 3"",""Animation : 1"",""Classics : 1"",""Travel : 1"",""Action : 2"",""Foreign : 2"",""Comedy : 3"",""Horror : 2"",""Sci-Fi : 3"",""Documentary : 1"",""Drama : 1"",""Music : 3"",""Games : 2""}"
100,"Spencer Depp","{""Documentary : 1"",""Classics : 1"",""Games : 2"",""Music : 4"",""Foreign : 1"",""Animation : 1"",""Sports : 1"",""Sci-Fi : 2"",""Travel : 3"",""Action : 3"",""Horror : 1"",""New : 2"",""Drama : 2""}"
101,"Susan Davis","{""Action : 2"",""Comedy : 4"",""Travel : 2"",""Horror : 3"",""Sci-Fi : 1"",""Sports : 2"",""Classics : 2"",""Documentary : 1"",""Music : 3"",""Foreign : 1"",""Games : 2"",""New : 1"",""Drama : 3"",""Family : 2"",""Children : 4""}"
102,"Walter Torn","{""Foreign : 3"",""Sports : "",""5Family : 2"",""Travel : 2"",""Documentary : 2"",""Action : 4"",""Classics : 2"",""Comedy : 2"",""Animation : 2"",""Music : 2"",""Horror : 4"",""Games : 3"",""Children : 3"",""Drama : 5""}"
103,"Matthew Leigh","{""Documentary : 3"",""Music : 2"",""Animation : 2"",""Classics : 1"",""Children : 2"",""Action : 4"",""Family : "",""5Travel : 3"",""Sci-Fi : 2"",""Games : 2"",""Drama : 3"",""Sports : 1""}"
104,"Penelope Cronyn","{""Drama : 2"",""Documentary : 4"",""Sci-Fi : 2"",""New : 2"",""Children : 2"",""Sports : 1"",""Family : 1"",""Travel : 1"",""Animation : 4"",""Comedy : 1"",""Horror : 4"",""Action : 2"",""Music : 1"",""Classics : 1"",""Foreign : 3""}"
105,"Sidney Crowe","{""Children : 3"",""Sci-Fi : 2"",""Action : 4"",""Sports : 3"",""Family : 3"",""New : 7"",""Animation : 2"",""Music : 3"",""Classics : 1"",""Games : 1"",""Comedy : 2"",""Horror : 1"",""Foreign : 1"",""Drama : 1""}"
106,"Groucho Dunst","{""Travel : 1"",""Games : 3"",""Family : "",""5Sports : 1"",""Documentary : 2"",""New : 3"",""Comedy : 2"",""Children : 1"",""Action : 4"",""Foreign : 3"",""Horror : 1"",""Music : 1"",""Classics : 2"",""Sci-Fi : 2"",""Animation : 1"",""Drama : 3""}"
